Type	Accession	Unique Name
Sample	ERS5446208 (SAMEA7689681) 	BTP_1
Sample	ERS5446209 (SAMEA7689682) 	BTP_10
Sample	ERS5446210 (SAMEA7689683) 	BTP_10.1
Sample	ERS5446211 (SAMEA7689684) 	BTP_10.2
Sample	ERS5446212 (SAMEA7689685) 	BTP_10.3
Sample	ERS5446213 (SAMEA7689686) 	BTP_10.4
Sample	ERS5446214 (SAMEA7689687) 	BTP_124
Sample	ERS5446215 (SAMEA7689688) 	BTP_125
Sample	ERS5446216 (SAMEA7689689) 	BTP_126
Sample	ERS5446217 (SAMEA7689690) 	BTP_127
Sample	ERS5446218 (SAMEA7689691) 	BTP_128
Sample	ERS5446219 (SAMEA7689692) 	BTP_129
Sample	ERS5446220 (SAMEA7689693) 	BTP_130
Sample	ERS5446221 (SAMEA7689694) 	BTP_131
Sample	ERS5446222 (SAMEA7689695) 	BTP_132
Sample	ERS5446223 (SAMEA7689696) 	BTP_133
Sample	ERS5446224 (SAMEA7689697) 	BTP_134
Sample	ERS5446225 (SAMEA7689698) 	BTP_135
Sample	ERS5446226 (SAMEA7689699) 	BTP_136
Sample	ERS5446227 (SAMEA7689700) 	BTP_137
Sample	ERS5446228 (SAMEA7689701) 	BTP_138
Sample	ERS5446229 (SAMEA7689702) 	BTP_139
Sample	ERS5446230 (SAMEA7689703) 	BTP_140
Sample	ERS5446231 (SAMEA7689704) 	BTP_141
Sample	ERS5446232 (SAMEA7689705) 	BTP_142
Sample	ERS5446233 (SAMEA7689706) 	BTP_143
Sample	ERS5446234 (SAMEA7689707) 	BTP_144
Sample	ERS5446235 (SAMEA7689708) 	BTP_145
Sample	ERS5446236 (SAMEA7689709) 	BTP_146
Sample	ERS5446237 (SAMEA7689710) 	BTP_147
Sample	ERS5446238 (SAMEA7689711) 	BTP_148
Sample	ERS5446239 (SAMEA7689712) 	BTP_149
Sample	ERS5446240 (SAMEA7689713) 	BTP_150
Sample	ERS5446241 (SAMEA7689714) 	BTP_151
Sample	ERS5446242 (SAMEA7689715) 	BTP_152
Sample	ERS5446243 (SAMEA7689716) 	BTP_153
Sample	ERS5446244 (SAMEA7689717) 	BTP_2
Sample	ERS5446245 (SAMEA7689718) 	BTP_3
Sample	ERS5446246 (SAMEA7689719) 	BTP_4
Sample	ERS5446247 (SAMEA7689720) 	BTP_5
Sample	ERS5446248 (SAMEA7689721) 	BTP_57
Sample	ERS5446249 (SAMEA7689722) 	BTP_58
Sample	ERS5446250 (SAMEA7689723) 	BTP_59
Sample	ERS5446251 (SAMEA7689724) 	BTP_6
Sample	ERS5446252 (SAMEA7689725) 	BTP_60
Sample	ERS5446253 (SAMEA7689726) 	BTP_61
Sample	ERS5446254 (SAMEA7689727) 	BTP_62
Sample	ERS5446255 (SAMEA7689728) 	BTP_63
Sample	ERS5446256 (SAMEA7689729) 	BTP_64
Sample	ERS5446257 (SAMEA7689730) 	BTP_65
Sample	ERS5446258 (SAMEA7689731) 	BTP_66
Sample	ERS5446259 (SAMEA7689732) 	BTP_67
Sample	ERS5446260 (SAMEA7689733) 	BTP_68
Sample	ERS5446261 (SAMEA7689734) 	BTP_69
Sample	ERS5446262 (SAMEA7689735) 	BTP_7
Sample	ERS5446263 (SAMEA7689736) 	BTP_70
Sample	ERS5446264 (SAMEA7689737) 	BTP_71
Sample	ERS5446265 (SAMEA7689738) 	BTP_72
Sample	ERS5446266 (SAMEA7689739) 	BTP_72.1
Sample	ERS5446267 (SAMEA7689740) 	BTP_73
Sample	ERS5446268 (SAMEA7689741) 	BTP_74
Sample	ERS5446269 (SAMEA7689742) 	BTP_75
Sample	ERS5446270 (SAMEA7689743) 	BTP_8
Sample	ERS5446271 (SAMEA7689744) 	BTP_9
Sample	ERS5446272 (SAMEA7689745) 	BTP_31
Sample	ERS5446273 (SAMEA7689746) 	BTP_32
Sample	ERS5446274 (SAMEA7689747) 	BTP_33
Sample	ERS5446275 (SAMEA7689748) 	BTP_34
Sample	ERS5446276 (SAMEA7689749) 	BTP_35
Sample	ERS5446277 (SAMEA7689750) 	BTP_36
Sample	ERS5446278 (SAMEA7689751) 	BTP_36.1
Sample	ERS5446279 (SAMEA7689752) 	BTP_36.2
Sample	ERS5446280 (SAMEA7689753) 	BTP_36.3
Sample	ERS5446281 (SAMEA7689754) 	BTP_36.4
Sample	ERS5446282 (SAMEA7689755) 	BTP_36.5
Sample	ERS5446283 (SAMEA7689756) 	BTP_36.6
Sample	ERS5446284 (SAMEA7689757) 	BTP_46
Sample	ERS5446285 (SAMEA7689758) 	BTP_105
Sample	ERS5446286 (SAMEA7689759) 	BTP_106
Sample	ERS5446287 (SAMEA7689760) 	BTP_107
Sample	ERS5446288 (SAMEA7689761) 	BTP_108
Sample	ERS5446289 (SAMEA7689762) 	BTP_109
Sample	ERS5446290 (SAMEA7689763) 	BTP_11
Sample	ERS5446291 (SAMEA7689764) 	BTP_110
Sample	ERS5446292 (SAMEA7689765) 	BTP_111
Sample	ERS5446293 (SAMEA7689766) 	BTP_112
Sample	ERS5446294 (SAMEA7689767) 	BTP_113
Sample	ERS5446295 (SAMEA7689768) 	BTP_114
Sample	ERS5446296 (SAMEA7689769) 	BTP_115
Sample	ERS5446297 (SAMEA7689770) 	BTP_116
Sample	ERS5446298 (SAMEA7689771) 	BTP_117
Sample	ERS5446299 (SAMEA7689772) 	BTP_118
Sample	ERS5446300 (SAMEA7689773) 	BTP_119
Sample	ERS5446301 (SAMEA7689774) 	BTP_12
Sample	ERS5446302 (SAMEA7689775) 	BTP_120
Sample	ERS5446303 (SAMEA7689776) 	BTP_121
Sample	ERS5446304 (SAMEA7689777) 	BTP_122
Sample	ERS5446305 (SAMEA7689778) 	BTP_123
Sample	ERS5446306 (SAMEA7689779) 	BTP_13
Sample	ERS5446307 (SAMEA7689780) 	BTP_14
Sample	ERS5446308 (SAMEA7689781) 	BTP_15
Sample	ERS5446309 (SAMEA7689782) 	BTP_16
Sample	ERS5446310 (SAMEA7689783) 	BTP_165
Sample	ERS5446311 (SAMEA7689784) 	BTP_166
Sample	ERS5446312 (SAMEA7689785) 	BTP_167
Sample	ERS5446313 (SAMEA7689786) 	BTP_168
Sample	ERS5446314 (SAMEA7689787) 	BTP_169
Sample	ERS5446315 (SAMEA7689788) 	BTP_17
Sample	ERS5446316 (SAMEA7689789) 	BTP_170
Sample	ERS5446317 (SAMEA7689790) 	BTP_171
Sample	ERS5446318 (SAMEA7689791) 	BTP_173
Sample	ERS5446319 (SAMEA7689792) 	BTP_174
Sample	ERS5446320 (SAMEA7689793) 	BTP_175
Sample	ERS5446321 (SAMEA7689794) 	BTP_176
Sample	ERS5446322 (SAMEA7689795) 	BTP_177
Sample	ERS5446323 (SAMEA7689796) 	BTP_178
Sample	ERS5446324 (SAMEA7689797) 	BTP_179
Sample	ERS5446325 (SAMEA7689798) 	BTP_18
Sample	ERS5446326 (SAMEA7689799) 	BTP_180
Sample	ERS5446327 (SAMEA7689800) 	BTP_181
Sample	ERS5446328 (SAMEA7689801) 	BTP_182
