sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	insert_size	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
BTP_1	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.1Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.1Egg.swab.fastq.gz	
BTP_10	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.10Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.BTP.10Skin.fastq.gz	
BTP_10.1	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.10.1Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.10.1Sediment.fastq.gz	
BTP_10.2	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Lake.water.BTP.10.2Lake.water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Lake.water.BTP.10.2Lake.water.fastq.gz	
BTP_10.3	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Lake.water.BTP.10.3Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Lake.water.BTP.10.3Skin.fastq.gz	
BTP_10.4	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.10.4Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Sediment.BTP.10.4Skin.fastq.gz	
BTP_124	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.124Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.124Body.swab.fastq.gz	
BTP_125	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.125Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.125Body.swab.fastq.gz	
BTP_126	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.126Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.126Body.swab.fastq.gz	
BTP_127	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.127Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.127Body.swab.fastq.gz	
BTP_128	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.128Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.128Body.swab.fastq.gz	
BTP_129	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.129Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.129Body.swab.fastq.gz	
BTP_130	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.130Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.130Body.swab.fastq.gz	
BTP_131	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.131Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.131Body.swab.fastq.gz	
BTP_132	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.132Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.132Body.swab.fastq.gz	
BTP_133	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.133Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.133Body.swab.fastq.gz	
BTP_134	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.134Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.134Body.swab.fastq.gz	
BTP_135	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.135Side.1.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.135Side.1.fastq.gz	
BTP_136	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.136Side.2.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.136Side.2.fastq.gz	
BTP_137	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Lake.water.BTP.137Side.1.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Lake.water.BTP.137Side.1.fastq.gz	
BTP_138	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Lake.water.BTP.138Side.2.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Lake.water.BTP.138Side.2.fastq.gz	
BTP_140	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.140Side.2.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.140Side.2.fastq.gz	
BTP_141	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.141Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.141Body.swab.fastq.gz	
BTP_143	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Metamorph.BTP.143Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Metamorph.BTP.143Body.swab.fastq.gz	
BTP_144	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.144Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.144Body.swab.fastq.gz	
BTP_145	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.145Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.145Body.swab.fastq.gz	
BTP_146	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.146Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.146Body.swab.fastq.gz	
BTP_147	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.147Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.147Body.swab.fastq.gz	
BTP_148	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.148Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.148Body.swab.fastq.gz	
BTP_149	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.149Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.149Body.swab.fastq.gz	
BTP_150	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.150Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.150Body.swab.fastq.gz	
