Type	Accession	Unique Name
Experiment	ERX5162995	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-1
Experiment	ERX5162996	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-2
Experiment	ERX5162997	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-3
Experiment	ERX5162998	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-4
Experiment	ERX5162999	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-5
Experiment	ERX5163000	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:839-6
Experiment	ERX5163001	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-7
Experiment	ERX5163002	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-8
Experiment	ERX5163003	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-9
Experiment	ERX5163004	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-10
Experiment	ERX5163005	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-11
Experiment	ERX5163006	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-12
Experiment	ERX5163007	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-13
Experiment	ERX5163008	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-14
Experiment	ERX5163009	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-15
Experiment	ERX5163010	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-16
Experiment	ERX5163011	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-17
Experiment	ERX5163012	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-18
Experiment	ERX5163013	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-19
Experiment	ERX5163014	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-20
Experiment	ERX5163015	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-21
Experiment	ERX5163016	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-22
Experiment	ERX5163017	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-23
Experiment	ERX5163018	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-24
Experiment	ERX5163019	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-25
Experiment	ERX5163020	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-26
Experiment	ERX5163021	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-27
Experiment	ERX5163022	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-28
Experiment	ERX5163023	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-29
Experiment	ERX5163024	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-30
Experiment	ERX5163025	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-31
Experiment	ERX5163026	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-32
Experiment	ERX5163027	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-33
Experiment	ERX5163028	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-34
Experiment	ERX5163029	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-35
Experiment	ERX5163030	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:840-36
Experiment	ERX5163031	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-37
Experiment	ERX5163032	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-38
Experiment	ERX5163033	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-39
Experiment	ERX5163034	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-40
Experiment	ERX5163035	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-41
Experiment	ERX5163036	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-42
Experiment	ERX5163037	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-43
Experiment	ERX5163038	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-44
Experiment	ERX5163039	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-45
Experiment	ERX5163040	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-46
Experiment	ERX5163041	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-47
Experiment	ERX5163042	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-48
Experiment	ERX5163043	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-49
Experiment	ERX5163044	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-50
Experiment	ERX5163045	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-51
Experiment	ERX5163046	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-52
Experiment	ERX5163047	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-53
Experiment	ERX5163048	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-54
Experiment	ERX5163049	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-55
Experiment	ERX5163050	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-56
Experiment	ERX5163051	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-57
Experiment	ERX5163052	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-58
Experiment	ERX5163053	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-59
Experiment	ERX5163054	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-60
Experiment	ERX5163055	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-61
Experiment	ERX5163056	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-62
Experiment	ERX5163057	ena-EXPERIMENT-UNIVERSITY OF COLORADO, BOULDER-26-02-2021-22:51:12:841-63
