otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
4	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Capnodiales..f__Cladosporiaceae..g__Cladosporium..s__Cladosporium_delicatulum..OTU_4	54	22.8272947816592	0.0421574953589731	0.0928129607523493	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
3	k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Capnodiales..f__Mycosphaerellaceae..g__Mycosphaerella..s__Mycosphaerella_tassiana..OTU_1	53	12.3340433691002	0.070834775102734	0.275215650299003	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
8	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Pseudeurotium..s__Pseudeurotium_hygrophilum..OTU_8	51	28.8142236494527	0.0980956706196374	0.0112806985999692	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
50	k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..s__unidentified..OTU_99	46	38.9625980739292	0.00704325224714431	0.00123889293437311	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
1	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Hyaloscyphaceae..g__Pezizella..s__Pezizella_epithallina..OTU_3	44	15.2066093825919	0.0920321634883719	0.0291392022547741	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
13	k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Leotiaceae..g__Neobulgaria..s__Neobulgaria_pura..OTU_177	36	14.7476852112673	0.0083825574839113	0.0023780151618777	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
41	k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Inocybaceae..g__Inocybe..s__Inocybe_curvipes..OTU_92	34	19.5594342432446	0.0217990971669467	0.000970749478720626	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
7	k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__unidentified..g__unidentified..s__unidentified..OTU_15	34	8.079126141748	5.5005500550055e-05	0.0196445654324189	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
27	k__Fungi..p__Rozellomycota..c__unidentified..o__unidentified..f__unidentified..g__unidentified..s__unidentified..OTU_34	34	7.22605921910915	0.0468882391860499	0.0272061785016865	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
53	k__Fungi..NA..NA..NA..NA..NA..NA..OTU_236	33	14.667794755305	0.00175720689992721	0.000543087938140542	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
