otu.names	W_stat	W_f	Adult_relAbund	Eggs_relAbund	Metamorph_relAbund	Subadult_relAbund	Tadpole_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
40	OTU_12	51	15.4856819016088	0.0584289483353349	0.0844673104052915	0.00264462809917355	0	0.0109472512824871	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
20	OTU_7180	49	11.1750967089762	0	0	0.2308287922557	0	0.02833015135704	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
6	OTU_2	49	6.08077912856164	0.00171703296703297	0	0.153625475935821	0	0.0867301738976749	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
5	OTU_62	48	19.3367994087617	0.0603458707016558	0.0218806104448178	0	0	0.00234363337811614	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
2	OTU_36	48	12.422062832273	0.000247089901636528	0.0601932922392875	0	0	0.00876438523979968	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
31	OTU_166	47	13.5399621208822	0.0169221683397953	0.01514795992659	0.0290909090909091	0.038685174385152	0.00166995250626312	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
17	OTU_1338	47	5.00518425241511	0.00157028882519432	0	0.0143152074482231	0	0.00152869872138385	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
32	OTU_156	46	5.61079712976129	0.00643386878770893	0.00707070896693343	0.00562814396314037	0.00357042398574187	0.00508130081300813	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
21	OTU_73	44	9.72372668026127	0.0120737827566849	0	0.0111806264400375	0.136536336337415	0.00193348959604736	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
46	OTU_106	43	12.9667499078657	0.0353158131884146	0.0327408596060704	0.00643356643356643	0	0	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
15	OTU_72	43	7.2336264598768	0.021999280734639	0.0225216486235087	0	0.0106060606060606	0.00960986458780677	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
19	OTU_81	43	6.64552335423335	0	0.0152961588965274	0	0	0.00809308975952218	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
30	OTU_151	41	20.6310844593061	0.0120890003641656	0	0.000485584218512898	0.000558659217877095	0.00478435481054653	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
9	OTU_6083	41	11.344747306444	0.00189791652617876	0.0266252737561598	0	0.0106060606060606	0.000200690179801672	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
33	OTU_58	40	9.17052182630423	0.0266078049618293	0.0167064439140811	0.000609756097560976	0	0.00752077239197948	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
45	OTU_272	40	8.35617229631137	0.00360131450928327	0.00213677862258581	0	0.00687342867289159	0.000592581199317802	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
34	OTU_172	39	16.4885481596411	0.0198904646567982	0.000153468385512584	0.000625444358373038	0.000558659217877095	0.00262232888952044	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
39	OTU_83	39	8.71148805764657	0.00260921652087678	0.0204967342499445	0.000838574423480084	0.000558659217877095	0.000162221789630783	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
43	OTU_40	39	5.05526507713539	0.0336820178540217	0.0380835796121703	0	0.000558659217877095	0.00811732509309833	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
8	OTU_8	38	4.16042709782523	0.00170876844374921	0.0548955548185681	0.00489552634736826	0	0.0144513942363188	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
29	OTU_19	38	2.23277048385531	0	0.015881061973168	0	0	0.026596901290201	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
36	OTU_6281	38	1.3924828433494	0.000307881773399015	0.00194444444444444	0.0174927092468756	0.00120240480961924	0.0273552145545832	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
24	OTU_14	37	4.98472572907909	0.000228937728937729	0.0227681516139091	4.5766590389016e-05	0	0.00466305346485712	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
