OTU	Ecol	Adult	Eggs	Metamorph	Sediment	Soil	Subadult	Tadpole	Water
OTU_166 (genus Phaeococcomyces)	Obligate	0.01979279	0.020353762	0.024615385	0.000341202	0	0.042084772	0.002064172	0
OTU_4 (genus Cladosporium)	Facultative	0.151465967	0.075428859	0.09545719	0.003565672	0.016129032	0.137878101	0.08323917	0.090573095
OTU_15 (order Filobasidiales)	Obligate	0.005019061	0.003703067	0.05560858	0.000422535	0	0	0.015852658	0
OTU_73 (genus Phaeosphaeria)	Obligate	0.011117821	0.000473485	0.012036364	0.000381471	0	0.144524142	0.001880135	0
OTU_58 (family Dothioraceae)	Facultative	0.027028344	0.016908213	0.000477612	0	0	0.000597015	0.007623	0.004509284
OTU_25 (genus Aureobasidium)	Facultative	0.011158547	0.017474253	0.026457725	0.000582237	0	0.011306987	0.021602883	0.009902907
OTU_1 (genus Mycosphaerella	Facultative	0.341956149	0.161256536	0.270824938	0.040808189	0.310304659	0.482818782	0.280635212	0.155820064
OTU_92 (genus Inocybe)	Transient	0	0.004115585	0	0.048572559	0.044444444	0.001328904	0.001523582	0.005915493
OTU_34 (phylum Rozellomycota)	Transient	0.002105756	0.000326471	0.021983019	0.164186194	0	0	0.059515897	0.010485133
OTU_83 (genus Solicoccozyma)	Transient	0.002984647	0.01725228	0.001140143	0.006590478	0.208333333	0	0.000239566	0
