otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6	Enriched
1	OTU_34	172	25.32662674833	0.0668613633508758	0.000905797101449275	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient
2	OTU_4	154	21.0303473890948	0.00186757942763616	0.0419865381129273	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
3	OTU_12	154	13.7604002465707	0.0045347220549107	0.0372073086825749	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
4	OTU_3	140	7.27325866951171	0.0838797000907747	0.00554393130248825	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
5	OTU_6083	135	14.0780736132785	8.60719874804382e-05	0.0145974433510432	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
6	OTU_178	134	9.08522814219518	0.00639618264321209	0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
7	OTU_106	133	14.1502637669326	0.000687498844262417	0.0146094982241909	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
8	OTU_181	127	14.4691595476082	0.000472169358125782	0.0111087763765036	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
9	OTU_430	127	13.2173221426253	8.60719874804382e-05	0.00455312394440799	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Symbiotic
10	OTU_40	124	9.18936103477147	0.000511182108626198	0.0225664583177172	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
11	OTU_36	124	4.09281372198818	0.0111434407700948	0.0311372522917125	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
12	OTU_166	113	10.1957238615998	0.000264509319955711	0.0101412455678089	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
13	OTU_319	112	11.5425848721396	0	0.0125288858691817	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
14	OTU_143	112	9.82893404683757	0.000258817864451667	0.0107132475470333	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
15	OTU_99	112	8.58596353196451	0.00878662812928917	0.00221769272867672	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
16	OTU_484	105	10.133976575247	8.1383519837233e-05	0.00978212528893265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
17	OTU_3576	92	7.53267981133129	0.000386127484413909	0.0138182919415986	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
18	OTU_75	85	8.09965934065363	0.000892753056376389	0.0703808907207772	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
19	OTU_255	85	7.96794929495369	4.33369447453954e-05	0.00204752356749414	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
20	OTU_426	81	5.7822328357953	0	0.0170137755342154	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
21	OTU_4705	74	7.52957676978674	4.33369447453954e-05	0.00104376132562727	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	Transient, not significant
22	OTU_3451	59	6.73029907704522	0.0105372443484659	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
23	OTU_8	55	6.23427166201979	0.118559692421358	0.0243157058402062	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
24	OTU_114	34	6.7489686647798	0.00139095728934283	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
25	OTU_205	30	5.17159423360672	0.00123347114482892	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
26	OTU_194	23	2.13873309562554	0.00373730473702143	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
27	OTU_2	22	6.07109368331509	0.163173217589362	9.3214019388516e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
28	OTU_160	21	2.48306417936868	0.00370927223982081	0.000265111346765642	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
29	OTU_241	20	3.6332418059918	0.00236334492287771	8.83704489218805e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
30	OTU_254	19	3.67468993301658	0.00398708667235519	0.000194250194250194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
31	OTU_52	18	5.12570565550973	0.0234128562689725	0.000574712643678161	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
32	OTU_353	18	4.45609206354723	0.00165477867897156	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
33	OTU_640	18	2.50029924471385	0.00158293797669035	0.000353481795687522	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
34	OTU_180	17	4.05436704611061	0.00723634704364897	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
35	OTU_732	17	3.19048560597141	0.00311897579402569	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
36	OTU_2418	16	4.96770648696555	0.000537030979131879	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
37	OTU_214	16	3.99336399093481	0.00126739244871867	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
38	OTU_1185	16	2.92535223034752	0.000811562981250454	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
39	OTU_9	15	3.54662767945729	0.0328336314136957	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
40	OTU_604	15	3.52715889975471	0.0012051141065291	0.000107665805340224	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
41	OTU_398	14	2.75468829511842	0.00115102451566434	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
42	OTU_1287	14	2.46113370007175	0.000419037112775621	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
43	OTU_6865	14	1.97000612042903	0.000425579949731469	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
44	OTU_109	13	3.84094874797279	0.0153297269166207	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
45	OTU_1987	13	2.00750412017415	0.00102637055317282	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
46	OTU_1805	13	1.94960354187432	0.000297957673625063	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
47	OTU_329	12	3.21655186613024	0.00178867053701463	0.000994167550371156	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
48	OTU_438	12	3.1844494865993	0.00205094725997875	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
49	OTU_1067	12	3.13155920565489	0.00160479770206828	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
50	OTU_491	12	2.95004643418178	0.000971548332242473	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
51	OTU_559	12	2.77223261269228	0.00150793921409283	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
52	OTU_1519	12	2.75048812886911	0.000393948635081598	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
53	OTU_148	12	2.60891983242871	0.00483303420117541	0.0011159325859364	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
54	OTU_51	12	2.52727621200064	0.000639981019461213	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
55	OTU_2771	12	2.49176005273566	0.000321273233363885	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
56	OTU_1787	12	2.48949546550599	0.000476220006757815	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
57	OTU_681	12	2.39811589824873	0.00117936864930621	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
58	OTU_7320	12	2.34279536839833	0.000951465212112775	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
59	OTU_267	12	2.29148269632	0.00940441597071908	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
60	OTU_6095	12	2.28756187875789	0.00317207883018279	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
61	OTU_221	12	2.21123492337472	0.00128930198701094	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
62	OTU_1320	12	2.20161944567264	0.000604356495312242	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
63	OTU_24	12	2.04337370397769	0.000978820029335863	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
64	OTU_130	12	1.84777444935835	0.00236438774215888	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
65	OTU_2646	12	1.78721648318139	0.000399367370815483	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
66	OTU_752	12	1.74937929870933	0.000468709431460061	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
67	OTU_256	11	6.14251499130927	0.000508982015428349	0.0177408575029163	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	Transient, not significant
68	OTU_92	11	2.62221471284928	0.0301288471522139	0.00217364888549923	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
69	OTU_283	11	1.78721648318139	0.000388121340190711	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
70	OTU_360	11	1.01859764980375	0.00238778533580703	0.000759491480594344	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
71	OTU_428	10	3.02929378601252	0.00195058960095293	0.000358325366154158	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
72	OTU_2807	10	2.04337370397768	0.000223834088200859	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
73	OTU_1597	10	2.03316259860753	0.000368549844420293	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
74	OTU_887	10	1.88699568456666	0.000545449692360023	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
75	OTU_769	10	1.80480927862186	0.0020069231058115	0.000176740897843761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
76	OTU_76	10	1.80178363118962	0.000810180476392669	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
77	OTU_201	10	1.72447619380221	0.00057371706889336	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
78	OTU_186	10	1.67483424673565	0.00632946576802365	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
79	OTU_174	10	1.59610005260122	0.00470383183028719	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
80	OTU_264	10	1.55446737650581	0.000821479998792898	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
81	OTU_483	10	1.4352753961475	0.00110342245437109	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
82	OTU_26	10	1.23393475718589	0.0115061580084913	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
83	OTU_151	10	1.18491455025158	0.00136732019786511	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
84	OTU_745	10	1.15008472550198	0.001067986598461	0.000194250194250194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
85	OTU_41	10	1.01599698893506	0.0178317539368786	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
86	OTU_709	9	0.0470592015803832	0.000786848025736574	0.00181653042688465	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
87	OTU_1117	8	0.653595655784693	0.000518566465558321	8.83704489218805e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
88	OTU_310	7	1.03618223925166	0.000915356588460267	0.000279642058165548	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
