"otu.names" "W_stat" "W_f" "Adult_relAbund" "Eggs_relAbund" "Metamorph_relAbund" "Sediment_relAbund" "Soil_relAbund" "Subadult_relAbund" "Tadpole_relAbund" "Water_relAbund" "detected_wcrit" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "effSize_statcrit" "effSize_0.9" "effSize_0.8" "effSize_0.7" "effSize_0.6"
"7" "Fungi.Ascomycota.Leotiomycetes.Thelebolales.Pseudeurotiaceae.Pseudeurotium.Pseudeurotium_hygrophilumOTU_8" 52 24.3322221940036 0 0.0263187647381852 0 0.0969044414535666 0 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"19" "Fungi.Basidiomycota.Agaricomycetes.Agaricales.Schizophyllaceae.Schizophyllum.Schizophyllum_communeOTU_7180" 51 9.19847368050177 0 0 0.0276923076923077 0 0 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"46" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Sclerostagonospora.Sclerostagonospora_phragmiticolaOTU_12" 51 8.3505102905285 0.0249378109452736 0.0589121123162293 0 0 0 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
"23" "Fungi.Rozellomycota.unidentified.unidentified.unidentified.unidentified.unidentifiedOTU_34" 51 6.86597028632901 0 0 0 0.0153846153846154 0 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE TRUE
"30" "Fungi.Ascomycota.Arthoniomycetes.Lichenostigmatales.Phaeococcomycetaceae.Phaeococcomyces.Phaeococcomyces_mexicanusOTU_166" 50 12.8986737796551 0.00994897959183673 0.000823723228995058 0 0 0 0.0377358490566038 0 0 TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"4" "Fungi.Ascomycota.Dothideomycetes.Capnodiales.Cladosporiaceae.Cladosporium.Cladosporium_delicatulumOTU_4" 50 6.0066996328647 0.116666666666667 0.0264691564469063 0.0163551401869159 0.00134589502018843 0 0.0897009966777409 0.0122703788748565 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"6" "Fungi.Basidiomycota.Tremellomycetes.Filobasidiales.unidentified.unidentified.unidentifiedOTU_15" 50 3.62883277944318 0.00155744043303852 0 0 0 0 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"48" "Fungi.Mortierellomycota.Mortierellomycetes.Mortierellales.Mortierellaceae.Mortierella.unidentifiedOTU_99" 49 24.4167960585161 0 0 0 0.0146137787056367 0.0416666666666667 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"21" "Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.NAOTU_73" 49 9.07828803656963 0.00146198830409357 0 0 0 0 0.0730897009966777 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"41" "Fungi.Basidiomycota.Tremellomycetes.Filobasidiales.Piskurozymaceae.Solicoccozyma.Solicoccozyma_terricolaOTU_83" 49 8.909998618029 0 0 0 0 0.125 0 0 0 TRUE TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
