"X1"	"X2"	"R2"	"pval"	"pvalBon"	"pvalFDR"
"1"	"Water"	"Sediment"	0.0676607809021587	0.001	0.078	0.008
"2"	"Water"	"Eggs.11.15"	0.0682709883807479	0.001	0.078	0.008
"3"	"Water"	"Metamorph.40.46"	0.0524183550413749	0.001	0.078	0.008
"4"	"Water"	"Subadult"	0.0759917802901256	0.001	0.078	0.008
"5"	"Water"	"Adult"	0.0945755897478016	0.001	0.078	0.008
"6"	"Sediment"	"Eggs.11.15"	0.0774906001053098	0.001	0.078	0.008
"7"	"Sediment"	"Tadpole.25.27"	0.0828321096223875	0.001	0.078	0.008
"8"	"Sediment"	"Tadpole.27.29"	0.0722622828354392	0.001	0.078	0.008
"9"	"Sediment"	"Metamorph.40.46"	0.115424081407076	0.001	0.078	0.008
"10"	"Sediment"	"Subadult"	0.110608391474585	0.001	0.078	0.008
"11"	"Sediment"	"Adult"	0.162560191396499	0.001	0.078	0.008
"12"	"Eggs.11.15"	"Tadpole.27.29"	0.0617868312603338	0.001	0.078	0.008
"13"	"Eggs.11.15"	"Metamorph.40.46"	0.0969022468063107	0.001	0.078	0.008
"14"	"Eggs.11.15"	"Subadult"	0.128931920374848	0.001	0.078	0.008
"15"	"Eggs.11.15"	"Adult"	0.109113119941848	0.001	0.078	0.008
"16"	"Tadpole.25.27"	"Adult"	0.090233761911442	0.001	0.078	0.008
"17"	"Tadpole.27.29"	"Adult"	0.0709375088173042	0.001	0.078	0.008
"18"	"Metamorph.40.46"	"Adult"	0.107826187232122	0.001	0.078	0.008
