"diff"	"lwr"	"upr"	"p adj"
"Eggs-Adult"	0.0786429535145534	-0.00832982281572563	0.165615729844832	0.108215674340871
"Metamorph-Adult"	0.0640436257745658	-0.00887137170995723	0.136958623259089	0.130960275420208
"Sediment-Adult"	0.0762642107479915	0.00334921326346847	0.149179208232515	0.0333328191910488
"Soil-Adult"	-0.0281438633768074	-0.171432290099843	0.115144563346228	0.998801434290468
"Subadult-Adult"	-0.023748509628892	-0.140434733668725	0.0929377144109412	0.998492778645766
"Tadpole-Adult"	0.110134378208971	0.0466700189783637	0.173598737439577	8.84979847792788e-06
"Water-Adult"	0.128915098251701	0.0525260333629708	0.205304163140431	1.74186125099229e-05
"Metamorph-Eggs"	-0.0145993277399876	-0.0945818631816815	0.0653832077017063	0.999255672889733
"Sediment-Eggs"	-0.00237874276656191	-0.0823612782082558	0.077603792675132	0.999999997145289
"Soil-Eggs"	-0.106786816891361	-0.253797640813535	0.0402240070308131	0.339300888975039
"Subadult-Eggs"	-0.102391463143445	-0.223619694171486	0.0188367678845951	0.165880803557065
"Tadpole-Eggs"	0.0314914246944171	-0.0399811855144268	0.102964034903261	0.876800632779013
"Water-Eggs"	0.0502721447371476	-0.032889735665405	0.1334340251397	0.582875690955229
"Sediment-Metamorph"	0.0122205849734257	-0.0521963305942501	0.0766375005411015	0.999042947046371
"Soil-Metamorph"	-0.0921874891513732	-0.23134393127982	0.0469689529770733	0.462335451969672
"Subadult-Metamorph"	-0.0877921354034578	-0.199365506033547	0.0237812352266313	0.240680117541504
"Tadpole-Metamorph"	0.0460907524344047	-0.00739445155358233	0.0995759564223918	0.147362093878441
"Water-Metamorph"	0.0648714724771352	-0.00345298425440206	0.133195929208672	0.0761105233827234
"Soil-Sediment"	-0.104408074124799	-0.243564516253245	0.0347483680036476	0.297944471150792
"Subadult-Sediment"	-0.100012720376883	-0.211586091006973	0.0115606502532056	0.114746021205715
"Tadpole-Sediment"	0.033870167460979	-0.019615036527008	0.0873553714489661	0.522647202582532
"Water-Sediment"	0.0526508875037095	-0.0156735692278278	0.120975344235247	0.265209340639477
"Subadult-Soil"	0.00439535374791544	-0.16192840705719	0.170719114553021	0.999999998749883
"Tadpole-Soil"	0.138278241585778	0.00383255210399802	0.272723931067558	0.0389764943847791
"Water-Soil"	0.157058961628508	0.0160511329016809	0.298066790355336	0.0176037162316623
"Tadpole-Subadult"	0.133882887837863	0.0282431932711764	0.239522582404549	0.00354868698957533
"Water-Subadult"	0.152663607880593	0.0387895133280309	0.266537702433155	0.00153955348343049
"Water-Tadpole"	0.0187807200427305	-0.0393515379733076	0.0769129780587685	0.975038321774376
