"diff"	"lwr"	"upr"	"p adj"
"Sediment-Water"	-0.0524076932469522	-0.123738236545562	0.0189228500516572	0.400346662990249
"Eggs.11.15-Water"	-0.052399956109194	-0.139220728561966	0.0344208163435778	0.711009764758822
"Tadpole.20.22-Water"	-0.655887672051477	-0.899527860481476	-0.412247483621477	1.63202784619898e-13
"Tadpole.23.25-Water"	-0.157385416227769	-0.333719238659388	0.0189484062038507	0.132852067099267
"Tadpole.25.27-Water"	-0.0175324447911003	-0.102240473109208	0.0671755835270076	0.999967352206598
"Tadpole.27.29-Water"	-0.026016689575022	-0.0951262802004002	0.0430929010503562	0.988049323108024
"Tadpole.29.31-Water"	-0.0833887842838739	-0.182854474698715	0.016076906130967	0.203444608926903
"Tadpole.31.35-Water"	-0.0446333943225461	-0.144099084737387	0.0548322960922948	0.951881856905771
"Tadpole.36.39-Water"	-0.134607291914083	-0.253491530745099	-0.0157230530830678	0.0121510020951436
"Metamorph.40.46-Water"	-0.0637891472112033	-0.135119690509813	0.00754139608740605	0.130952512640007
"Subadult-Water"	-0.144178494510895	-0.26306273334191	-0.025294255679879	0.00464889237536115
"Adult-Water"	-0.13059498335218	-0.210344955196022	-0.050845011508339	1.09626564511744e-05
"Eggs.11.15-Sediment"	7.73713775814588e-06	-0.0834938079952439	0.0835092822707602	1
"Tadpole.20.22-Sediment"	-0.603479978804525	-0.845957200267714	-0.361002757341335	2.4606983117792e-12
"Tadpole.23.25-Sediment"	-0.104977722980817	-0.279701157137912	0.0697457111762784	0.71708508868461
"Tadpole.25.27-Sediment"	0.0348752484558519	-0.0464273441955769	0.116177841107281	0.96564509172192
"Tadpole.27.29-Sediment"	0.0263910036719301	-0.0384996507145851	0.0912816580584454	0.977363581406497
"Tadpole.29.31-Sediment"	-0.0309810910369217	-0.12756310323383	0.0656009211599868	0.997151173528847
"Tadpole.31.35-Sediment"	0.00777429892440606	-0.0888077132725024	0.104356311121315	0.999999999355813
"Tadpole.36.39-Sediment"	-0.0821995986671312	-0.198681888105195	0.0342826907709321	0.467433690111404
"Metamorph.40.46-Sediment"	-0.0113814539642512	-0.0786325351271409	0.0558696271986386	0.999996462693381
"Subadult-Sediment"	-0.0917708012639424	-0.208253090702006	0.0247114881741209	0.289713206278342
"Adult-Sediment"	-0.0781872901052282	-0.154310345215991	-0.00206423499446502	0.0380884945783661
"Tadpole.20.22-Eggs.11.15"	-0.603487715942283	-0.850964993789219	-0.356010438095346	6.38467057001435e-12
"Tadpole.23.25-Eggs.11.15"	-0.104985460118575	-0.286584134578687	0.0766132143415377	0.765875866583531
"Tadpole.25.27-Eggs.11.15"	0.0348675113180937	-0.0603160570845742	0.130051079720762	0.990547466040506
"Tadpole.27.29-Eggs.11.15"	0.026383266534172	-0.0552292150402254	0.107995748108569	0.99693660681881
"Tadpole.29.31-Eggs.11.15"	-0.0309888281746798	-0.139514793740645	0.0775371373912849	0.999071111290374
"Tadpole.31.35-Eggs.11.15"	0.00776656178664792	-0.100759403779317	0.116292527352613	0.999999999839903
"Tadpole.36.39-Eggs.11.15"	-0.0822073358048894	-0.208769272716245	0.0443546011064662	0.603074053994855
"Metamorph.40.46-Eggs.11.15"	-0.0113891911020093	-0.0948907362350114	0.0721123540309927	0.999999695040003
"Subadult-Eggs.11.15"	-0.0917785384017006	-0.218340475313056	0.034783398509655	0.422002903004592
"Adult-Eggs.11.15"	-0.0781950272429863	-0.168994364473043	0.0126043099870699	0.171000413760991
