otu.name,tax.id,rel_abund_toad,rel_abund_env,rank_abund_toad,rank_abund_env,percentile_toad,percentile_env,Ecol
OTU_166,Fungi.Ascomycota.Arthoniomycetes.Lichenostigmatales.Phaeococcomycetaceae.Phaeococcomyces.Phaeococcomyces_mexicanus,19.35483871,6.25,18,167,0.03515625,0.326171875,Symbiotic
OTU_4,Fungi.Ascomycota.Dothideomycetes.Capnodiales.Cladosporiaceae.Cladosporium.Cladosporium_delicatulum,67.74193548,31.25,2,12,0.00390625,0.0234375,Symbiotic
OTU_1,Fungi.Ascomycota.Dothideomycetes.Capnodiales.Mycosphaerellaceae.Mycosphaerella.Mycosphaerella_tassiana,83.87096774,79.16666667,1,1,0.001953125,0.001953125,Symbiotic
OTU_25,Fungi.Ascomycota.Dothideomycetes.Dothideales.Aureobasidiaceae.Aureobasidium.Aureobasidium_pullulans,37.90322581,16.66666667,4,42,0.0078125,0.08203125,Symbiotic
OTU_58,Fungi.Ascomycota.Dothideomycetes.Dothideales.Dothioraceae.unidentified.unidentified,16.93548387,2.083333333,21,467,0.041015625,0.912109375,Symbiotic
OTU_73,Fungi.Ascomycota.Dothideomycetes.Pleosporales.Phaeosphaeriaceae.Phaeosphaeria.NA,20.16129032,4.166666667,16,295,0.03125,0.576171875,Symbiotic
OTU_148,Fungi.Ascomycota.Dothideomycetes.Venturiales.Venturiaceae.Venturia.Venturia_inaequalis,6.451612903,29.16666667,94,14,0.18359375,0.02734375,Transient
OTU_14,Fungi.Ascomycota.Leotiomycetes.Helotiales.Helotiaceae.Mycofalcella.Mycofalcella_calcarata,11.29032258,31.25,37,9,0.072265625,0.017578125,Transient
OTU_3,Fungi.Ascomycota.Leotiomycetes.Helotiales.Hyaloscyphaceae.Pezizella.Pezizella_epithallina,30.64516129,60.41666667,6,2,0.01171875,0.00390625,Transient
OTU_177,Fungi.Ascomycota.Leotiomycetes.Helotiales.Leotiaceae.Neobulgaria.Neobulgaria_pura,8.870967742,33.33333333,63,7,0.123046875,0.013671875,Transient
OTU_79,Fungi.Ascomycota.Leotiomycetes.Thelebolales.Pseudeurotiaceae.Geomyces.unidentified,8.870967742,29.16666667,67,16,0.130859375,0.03125,Transient
OTU_8,Fungi.Ascomycota.Leotiomycetes.Thelebolales.Pseudeurotiaceae.Pseudeurotium.Pseudeurotium_hygrophilum,18.5483871,54.16666667,19,3,0.037109375,0.005859375,Transient
OTU_81,Fungi.Ascomycota.Sordariomycetes.Hypocreales.unidentified.unidentified.unidentified,14.51612903,31.25,27,13,0.052734375,0.025390625,Transient
OTU_92,Fungi.Basidiomycota.Agaricomycetes.Agaricales.Inocybaceae.Inocybe.Inocybe_curvipes,4.838709677,29.16666667,147,17,0.287109375,0.033203125,Transient
OTU_9,Fungi.Basidiomycota.Microbotryomycetes.Kriegeriales.Kriegeriaceae.Kriegeria.Kriegeria_eriophori,8.064516129,25,81,25,0.158203125,0.048828125,Transient
OTU_83,Fungi.Basidiomycota.Tremellomycetes.Filobasidiales.Piskurozymaceae.Solicoccozyma.Solicoccozyma_terricola,10.48387097,27.08333333,51,21,0.099609375,0.041015625,Transient
OTU_15,Fungi.Basidiomycota.Tremellomycetes.Filobasidiales.unidentified.unidentified.unidentified,19.35483871,2.083333333,17,347,0.033203125,0.677734375,Symbiotic
OTU_99,Fungi.Mortierellomycota.Mortierellomycetes.Mortierellales.Mortierellaceae.Mortierella.unidentified,7.258064516,45.83333333,91,5,0.177734375,0.009765625,Transient
OTU_34,Fungi.Rozellomycota.unidentified.unidentified.unidentified.unidentified.unidentified,24.19354839,45.83333333,9,4,0.017578125,0.0078125,Transient
