X1	X2	Wstat	pvalBon	pvalFDR
Sediment	Tadpole.27.29	663	2.37644333412865e-07	0
Sediment	Metamorph.40.46	595	4.01053291943746e-06	0
Sediment	Water	489	4.58678803770657e-06	0
Tadpole.27.29	Adult	12.5	3.04727728182234e-05	0
Sediment	Tadpole.25.27	323	7.68882297910511e-05	0
Metamorph.40.46	Adult	20.5	0.000155422799373202	0
Water	Adult	12	0.000239209509864898	0
Tadpole.25.27	Adult	4	0.00115694083712443	0
Eggs.11.15	Tadpole.27.29	297.5	0.00358753577048527	0
Sediment	Tadpole.29.31	193.5	0.00845424232573968	0.001
Water	Eggs.11.15	21	0.0112563255651777	0.001
Eggs.11.15	Tadpole.25.27	149	0.0112699118085095	0.001
Sediment	Tadpole.31.35	186	0.0297564251324875	0.002
Tadpole.31.35	Adult	5	0.0308913528794284	0.002
Tadpole.29.31	Adult	6	0.0389893198930768	0.003
Eggs.11.15	Adult	20.5	0.0450836907853026	0.003
