#Exported from mctoolsr
"#OTU ID"	"Anaxyrus.boreas.Tadpole.6.BTP.188Body.swab"	"Anaxyrus.boreas.Adult.Male.BTP.182Skin.2"	"Anaxyrus.boreas.Adult.Male.BTP.228Skin"	"Anaxyrus.boreas.Camo.Metamorph.2.BTP.206Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.264Body.swab"	"Anaxyrus.boreas.NA.BTP.24Skin"	"Anaxyrus.boreas.Juvenile.BTP.73BD.swab"	"Anaxyrus.boreas.Adult.Male.BTP.181Skin.1"	"Anaxyrus.boreas.Metamorph.BTP.233Skin"	"Anaxyrus.boreas.Black.Metamorph.7.BTP.201Body.swab"	"Anaxyrus.boreas.Subadult.BTP.34Skin"	"Anaxyrus.boreas.Eggs.BTP.65Egg.swab"	"Anaxyrus.boreas.Metamorph.BTP.232Skin"	"Anaxyrus.boreas.NA.BTP.20Skin"	"Anaxyrus.boreas.Tadpole.BTP.111Body.swab"	"Anaxyrus.boreas.NA.BTP.12Skin"	"Anaxyrus.boreas.Subadult.BTP.36.2Skin"	"Anaxyrus.boreas.Tadpole.BTP.116Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.171Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.248Body.swab"	"Anaxyrus.boreas.Egg.BTP.44Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.88Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.81Body.swab"	"Anaxyrus.boreas.NA.BTP.26Skin"	"Anaxyrus.boreas.Camo.Metamorph.6.BTP.210Body.swab"	"Anaxyrus.boreas.Adult.Female.BTP.153Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.117Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.134Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.127Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.83Body.swab"	"Anaxyrus.boreas.Camo.Metamorph.10.BTP.214Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.101Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.84Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.112Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.114Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.260Body.swab"	"Anaxyrus.boreas.Juvenile.BTP.74Skin"	"Anaxyrus.boreas.Adult.BTP.10Skin"	"Anaxyrus.boreas.Adult.Male.BTP.140Side.2"	"Anaxyrus.boreas.Tadpole.BTP.128Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.129Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.113Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.108Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.229Skin"	"Anaxyrus.boreas.NA.BTP.22Skin"	"Anaxyrus.boreas.Black.Metamorph.3.BTP.197Body.swab"	"Anaxyrus.boreas.Egg.BTP.4Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.156Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.167Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.250Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.143Body.swab"	"Anaxyrus.boreas.Egg.BTP.43Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.103Body.swab"	"Anaxyrus.boreas.Egg.BTP.46Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.89Body.swab"	"Anaxyrus.boreas.Camo.Metamorph.3.BTP.207Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.52Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.147Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.230Skin"	"Anaxyrus.boreas.Tadpole.BTP.106Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.238Skin"	"Anaxyrus.boreas.Tadpole.BTP.90Body.swab"	"Anaxyrus.boreas.Camo.Metamorph.5.BTP.209Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.130Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.263Body.swab"	"Anaxyrus.boreas.Tadpole.2.BTP.184Body.swab"	"Anaxyrus.boreas.Adult.BTP.6Skin"	"Anaxyrus.boreas.NA.BTP.16Skin"	"Anaxyrus.boreas.Tadpole.BTP.148Body.swab"	"Anaxyrus.boreas.NA.BTP.18Skin"	"Anaxyrus.boreas.Tadpole.BTP.82Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.51Body.swab"	"Anaxyrus.boreas.Black.Metamorph.9.BTP.203Body.swab"	"Anaxyrus.boreas.NA.BTP.14Skin"	"Anaxyrus.boreas.Black.Metamorph.1.BTP.195Body.swab"	"Anaxyrus.boreas.Egg.BTP.45Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.80Body.swab"	"Anaxyrus.boreas.Black.Metamorph.4.BTP.198Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.241Skin"	"Anaxyrus.boreas.Tadpole.BTP.174Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.107Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.102Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.133Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.124Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.97Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.162Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.126Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.239Skin"	"Anaxyrus.boreas.Tadpole.BTP.72.1Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.96Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.168Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.149Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.150Body.swab"	"Anaxyrus.boreas.Tadpole.9.BTP.191Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.160Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.105Body.swab"	"Anaxyrus.boreas.Tadpole.3.BTP.185Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.109Body.swab"	"Anaxyrus.boreas.Eggs.BTP.63Egg.swab"	"Anaxyrus.boreas.Black.Metamorph.10.BTP.204Body.swab"	"Anaxyrus.boreas.Metamorph.BTP.231Skin"	"Anaxyrus.boreas.Egg.BTP.1Egg.swab"	"Anaxyrus.boreas.Adult.BTP.8Skin"	"Anaxyrus.boreas.Black.Metamorph.8.BTP.202Body.swab"	"Anaxyrus.boreas.Tadpole.1.BTP.183Body.swab"	"Anaxyrus.boreas.Lake.water.BTP.10.3Skin"	"Anaxyrus.boreas.Tadpole.BTP.125Body.swab"	"Anaxyrus.boreas.Camo.Metamorph.4.BTP.208Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.173Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.100Body.swab"	"Anaxyrus.boreas.Egg.BTP.3Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.85Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.118Body.swab"	"Anaxyrus.boreas.Black.Metamorph.2.BTP.196Body.swab"	"Anaxyrus.boreas.Tadpole.BTP.152Body.swab"	"Anaxyrus.boreas.Subadult.BTP.36Skin"	"Anaxyrus.boreas.Tadpole.BTP.163Body.swab"	"Anaxyrus.boreas.Black.Metamorph.6.BTP.200Body.swab"	"Anaxyrus.boreas.Eggs.BTP.64Egg.swab"	"Anaxyrus.boreas.Tadpole.BTP.132Body.swab"	"Anaxyrus.boreas.Tadpole.10.BTP.192Body.swab"	"Anaxyrus.boreas.Eggs.BTP.61Egg.swab"	"Anaxyrus.boreas.Eggs.BTP.62Egg.swab"	"Anaxyrus.boreas.Tadpole.7.BTP.189Body.swab"	"taxonomy"
"OTU_3"	0	7	0	0	0	30	0	8	1	0	6	10	0	1	46	107	0	0	244	0	0	0	45	28	0	0	89	0	16	0	0	0	0	4	10	0	0	0	0	0	0	0	35	0	4	0	0	0	0	0	0	10	0	0	0	0	11	11	1	87	0	0	0	1	33	8	0	0	9	0	0	0	0	0	33	26	0	0	0	235	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	1	0	196	12	0	0	0	0	1	0	0	0	0	0	259	0	0	3	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Pezizella; s__Pezizella_epithallina"
"OTU_135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_lapidosum"
"OTU_36"	0	1	0	0	0	0	0	0	0	0	0	47	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	51	0	9	0	0	0	141	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	170	0	0	0	0	21	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Dactylaria; s__Dactylaria_dimorphospora"
"OTU_1037"	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified"
"OTU_1"	470	506	383	0	831	141	49	527	452	0	128	66	201	128	438	103	207	194	37	784	2	0	2	91	0	235	602	29	21	145	274	102	636	685	615	706	109	94	135	66	0	0	536	745	45	0	18	50	276	296	215	27	0	68	87	254	195	4	1	0	180	557	0	97	729	31	86	78	3	114	51	2	94	116	0	14	445	45	658	0	394	22	2	0	0	55	260	269	0	0	158	0	1	748	137	0	6	34	29	17	209	6	150	29	86	2	2	156	43	221	20	0	1	23	1	161	116	40	250	2	0	691	3	150	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella; s__Mycosphaerella_tassiana"
"OTU_4"	0	29	36	285	35	59	0	16	19	334	22	7	20	190	0	126	130	0	0	73	36	0	20	12	0	32	112	63	72	7	29	0	0	65	57	64	9	54	311	0	0	0	130	0	49	38	34	0	23	21	0	9	61	55	0	3	0	2	163	0	30	0	0	377	0	0	186	49	14	94	0	0	0	75	0	0	18	1	46	17	8	20	24	14	113	57	38	82	64	0	0	0	108	7	63	719	14	21	12	2	0	22	13	73	0	10	137	94	2	1	1	0	0	0	129	129	0	0	9	0	9	0	9	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_delicatulum"
"OTU_62"	0	0	0	0	0	215	0	1	0	0	0	0	0	22	0	8	0	0	0	0	4	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	70	0	1	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	165	14	0	4	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	13	0	0	21	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Microbotryomycetes; NA; NA; NA; NA"
"OTU_2"	0	0	15	3	0	0	0	0	0	160	0	0	11	0	0	0	0	0	0	0	0	218	134	0	0	0	0	0	0	37	77	150	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	307	0	0	0	0	329	0	0	558	28	0	147	0	0	0	0	0	0	235	0	0	0	0	0	0	158	0	32	0	34	0	0	0	0	55	1	0	112	639	0	29	0	0	0	0	0	0	197	0	0	0	0	385	135	0	0	0	0	0	0	139	0	0	0	316	0	317	0	0	193	68	0	0	0	0	0	373	"k__Fungi; NA; NA; NA; NA; NA; NA"
"OTU_615"	0	0	2	0	0	0	19	0	8	0	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Arthoniomycetes; o__Lichenostigmatales; f__Phaeococcomycetaceae; g__Phaeococcomyces; s__Phaeococcomyces_eucalypti"
"OTU_365"	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideaceae; g__Celosporium; s__unidentified"
"OTU_15"	0	0	27	0	8	0	0	5	190	0	0	12	40	0	0	0	0	242	0	0	0	0	0	0	0	15	0	0	0	402	0	15	12	0	0	16	0	0	1	0	66	0	0	10	0	166	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	183	0	0	77	0	0	0	0	0	0	0	0	0	114	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__unidentified; g__unidentified; s__unidentified"
"OTU_8"	0	9	0	0	0	0	0	12	9	0	0	50	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	0	0	47	0	0	42	59	0	0	7	3	41	0	0	0	0	0	0	0	59	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	53	0	23	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	65	0	0	0	0	93	"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Pseudeurotium; s__Pseudeurotium_hygrophilum"
